vehicle_no,timestamp,camera_id
MHGB7206,2024-09-14 09:00:00,001
MHVT1106,2024-09-14 09:00:00,001
MHFL8258,2024-09-14 09:00:00,001
MHQI6916,2024-09-14 09:00:00,001
MHZA0097,2024-09-14 09:00:00,001
MHLI7886,2024-09-14 09:00:00,001
MHCW7984,2024-09-14 09:00:00,001
MHNA3611,2024-09-14 09:00:00,001
MHNG2760,2024-09-14 09:00:00,001
MHEW6419,2024-09-14 09:00:00,001
MHCF2742,2024-09-14 09:00:00,001
MHKB5385,2024-09-14 09:00:00,001
MHRI2239,2024-09-14 09:00:00,001
MHPE9279,2024-09-14 09:00:00,001
MHIK7879,2024-09-14 09:00:00,001
MHWK7061,2024-09-14 09:00:00,001
MHGY0974,2024-09-14 09:00:00,001
MHHB7019,2024-09-14 09:00:00,001
MHHD7502,2024-09-14 09:00:00,001
MHEX2269,2024-09-14 09:00:00,001
MHDX8289,2024-09-14 09:00:00,001
MHUO5820,2024-09-14 09:00:00,001
MHUU0691,2024-09-14 09:00:00,001
MHCX7514,2024-09-14 09:00:00,001
MHIN8975,2024-09-14 09:00:00,001
MHPL3698,2024-09-14 09:00:00,001
MHSQ9648,2024-09-14 09:00:00,001
MHTU4478,2024-09-14 09:00:00,001
XHMN5782,2024-09-14 09:00:00,001
MHYD5614,2024-09-14 09:00:00,001
MHTC5987,2024-09-14 09:00:00,001
MHGL5962,2024-09-14 09:00:00,001
MHBA0183,2024-09-14 09:00:00,001
MHVT9967,2024-09-14 09:00:00,001
MHXG1212,2024-09-14 09:00:00,001
MHEX5551,2024-09-14 09:20:00,001
MHNN5265,2024-09-14 09:20:00,001
MHZT7391,2024-09-14 09:20:00,001
MHMR6774,2024-09-14 09:20:00,001
MHHK2989,2024-09-14 09:20:00,001
MHUB5222,2024-09-14 09:20:00,001
MHSZ6440,2024-09-14 09:20:00,001
MHND3173,2024-09-14 09:20:00,001
MHNC4208,2024-09-14 09:20:00,001
MHHE2099,2024-09-14 09:20:00,001
MHTH7490,2024-09-14 09:20:00,001
MHYH2008,2024-09-14 09:20:00,001
MHBF2131,2024-09-14 09:20:00,001
MHKN2227,2024-09-14 09:20:00,001
MHQD0361,2024-09-14 09:20:00,001
MHDE6657,2024-09-14 09:20:00,001
MHEV9677,2024-09-14 09:20:00,001
MHJE5419,2024-09-14 09:20:00,001
MHNU5805,2024-09-14 09:20:00,001
MHWI0405,2024-09-14 09:20:00,001
MHYM3613,2024-09-14 09:20:00,001
MHDT7185,2024-09-14 09:20:00,001
MHXS5573,2024-09-14 09:20:00,001
MHBE9673,2024-09-14 09:20:00,001
MHMI0593,2024-09-14 09:20:00,001
MHLN4288,2024-09-14 09:20:00,001
MHKP2844,2024-09-14 09:20:00,001
MHHK6075,2024-09-14 09:20:00,001
MHAV1489,2024-09-14 09:20:00,001
MHLI4151,2024-09-21 09:00:00,001
MHKX7183,2024-09-21 09:00:00,001
MHKL0348,2024-09-21 09:00:00,001
MHJX1116,2024-09-21 09:00:00,001
MHHP1808,2024-09-21 09:00:00,001
MHFD1443,2024-09-21 09:00:00,001
MHNB2071,2024-09-21 09:00:00,001
MHJO4356,2024-09-21 09:00:00,001
MHAV5142,2024-09-21 09:00:00,001
MHBO4205,2024-09-21 09:00:00,001
MHUM1061,2024-09-21 09:00:00,001
MHQX9269,2024-09-21 09:00:00,001
MHJS4040,2024-09-21 09:00:00,001
MHIJ9735,2024-09-21 09:00:00,001
MHHL9222,2024-09-21 09:00:00,001
MHSU8489,2024-09-21 09:00:00,001
MHIA5925,2024-09-21 09:20:00,001
MHXB8718,2024-09-21 09:20:00,001
MHBI8397,2024-09-21 09:20:00,001
MHHN9871,2024-09-21 09:20:00,001
MHZJ4545,2024-09-21 09:20:00,001
MHKG9883,2024-09-21 09:20:00,001
MHIV1303,2024-09-21 09:20:00,001
MHLJ8764,2024-09-21 09:20:00,001
MHJR9851,2024-09-21 09:20:00,001
MHJJ1312,2024-09-21 09:20:00,001
MHBU0814,2024-09-21 09:20:00,001
MHLZ7357,2024-09-21 09:20:00,001
MHPB9269,2024-09-21 09:20:00,001
MHXR6074,2024-09-21 09:20:00,001
MHNZ4998,2024-09-21 09:20:00,001
MHJM6693,2024-09-21 09:20:00,001
MHLB1477,2024-09-21 09:20:00,001
MHGS8930,2024-09-21 09:20:00,001
MHCB1274,2024-09-21 09:20:00,001
MHWO9563,2024-09-21 09:20:00,001
MHDM2738,2024-09-21 09:20:00,001
MHPE1400,2024-09-28 09:00:00,001
MHUG3432,2024-09-28 09:00:00,001
MHYKH490,2024-09-28 09:00:00,001
MHPL6438,2024-09-28 09:00:00,001
MHLX7189,2024-09-28 09:00:00,001
MHOA5858,2024-09-28 09:00:00,001
MHCZ3445,2024-09-28 09:00:00,001
MHUD4963,2024-09-28 09:00:00,001
MHFH2505,2024-09-28 09:00:00,001
MHWG4108,2024-09-28 09:00:00,001
MHPH6142,2024-09-28 09:00:00,001
MHOK1245,2024-09-28 09:00:00,001
MHND0631,2024-09-28 09:00:00,001
MHKX9089,2024-09-28 09:00:00,001
MHEO2336,2024-09-28 09:00:00,001
MHHJ5466,2024-09-28 09:00:00,001
MHHE4408,2024-09-28 09:00:00,001
MHZG1408,2024-09-28 09:00:00,001
MHQW3023,2024-09-28 09:00:00,001
MHSC9475,2024-09-28 09:00:00,001
MHTA1147,2024-09-28 09:00:00,001
MHMQ4786,2024-09-28 09:00:00,001
MHSA7206,2024-09-28 09:20:00,001
MHPJ8931,2024-09-28 09:20:00,001
MHWK6820,2024-09-28 09:20:00,001
MHZF2942,2024-09-28 09:20:00,001
MHSG8196,2024-09-28 09:20:00,001
MHJL7185,2024-09-28 09:20:00,001
MHZT0539,2024-09-28 09:20:00,001
MHQB2206,2024-09-28 09:20:00,001
MHQM8447,2024-09-28 09:20:00,001
MHZW1668,2024-09-28 09:20:00,001
MHDC6371,2024-09-28 09:20:00,001
MHUU8434,2024-09-28 09:20:00,001
MHIF2796,2024-09-28 09:20:00,001
MHJI2651,2024-09-28 09:20:00,001
MHUX6353,2024-09-28 09:20:00,001
MHWE1826,2024-09-28 09:20:00,001
MHLP7677,2024-10-05 09:00:00,001
MHWQ1885,2024-10-05 09:00:00,001
MHYM3538,2024-10-05 09:00:00,001
MHZI5530,2024-10-05 09:00:00,001
MHTG4589,2024-10-05 09:00:00,001
MHOY4069,2024-10-05 09:00:00,001
MHMK6014,2024-10-05 09:00:00,001
MHDI4186,2024-10-05 09:00:00,001
MHYU4782,2024-10-05 09:00:00,001
MHDR4634,2024-10-05 09:00:00,001
MHAT7886,2024-10-05 09:00:00,001
MHEV5498,2024-10-05 09:00:00,001
MHWR9742,2024-10-05 09:00:00,001
MHSN8506,2024-10-05 09:00:00,001
MHVS6359,2024-10-05 09:00:00,001
MHPN5965,2024-10-05 09:00:00,001
MHNP2257,2024-10-05 09:00:00,001
MHKW8661,2024-10-05 09:00:00,001
MHQX0908,2024-10-05 09:00:00,001
MHWX3099,2024-10-05 09:00:00,001
MHWL4637,2024-10-05 09:00:00,001
MHSR2505,2024-10-05 09:00:00,001
MHHL1614,2024-10-05 09:00:00,001
MHQV8534,2024-10-05 09:00:00,001
MHLE9497,2024-10-05 09:20:00,001
MHHW5846,2024-10-05 09:20:00,001
MHZM8238,2024-10-05 09:20:00,001
MHLL4610,2024-10-05 09:20:00,001
MHCZ2221,2024-10-05 09:20:00,001
MHWY8438,2024-10-05 09:20:00,001
MHGA7605,2024-10-05 09:20:00,001
MHXY7086,2024-10-05 09:20:00,001
MHVA8240,2024-10-05 09:20:00,001
MHIJ1865,2024-10-05 09:20:00,001
MHIM8153,2024-10-05 09:20:00,001
MHJZ6430,2024-10-05 09:20:00,001
MHKL4408,2024-10-05 09:20:00,001
MHXE2219,2024-10-05 09:20:00,001
MHTM9354,2024-10-05 09:20:00,001
MHVA0022,2024-10-05 09:20:00,001
MHNU8428,2024-10-05 09:20:00,001
MHCC8760,2024-10-05 09:20:00,001
MHWV6952,2024-10-05 09:20:00,001
MHDO3183,2024-10-05 09:20:00,001
MHOM3854,2024-10-05 09:20:00,001
MHLI4992,2024-10-12 09:00:00,001
MHYE3323,2024-10-12 09:00:00,001
MHOB1967,2024-10-12 09:00:00,001
MHAF4661,2024-10-12 09:00:00,001
MHFE9573,2024-10-12 09:00:00,001
MHCF2082,2024-10-12 09:00:00,001
