vehicle_no,timestamp,camera_id
MHBU8023,2024-09-21 05:00:00,001
MHBX5558,2024-09-21 05:00:00,001
MHMI8050,2024-09-21 05:20:00,001
MHYY5584,2024-09-21 05:20:00,001
MHZH8074,2024-09-21 05:20:00,001
MHMU0868,2024-09-21 05:20:00,001
MHHS4149,2024-09-21 05:40:00,001
MHFY4262,2024-09-21 05:40:00,001
MHWO5686,2024-09-21 05:40:00,001
MHPH1754,2024-09-21 05:40:00,001
MHDI0328,2024-09-21 06:00:00,001
MHDJ0261,2024-09-21 06:00:00,001
MHIQ6752,2024-09-21 06:00:00,001
MHWP4468,2024-09-21 06:00:00,001
MHYM8393,2024-09-21 06:00:00,001
MHPP5855,2024-09-21 06:20:00,001
MHTJ8561,2024-09-21 06:20:00,001
MHMF2689,2024-09-21 06:40:00,001
MHAH3974,2024-09-21 06:40:00,001
MHRE7185,2024-09-21 06:40:00,001
MHRJ9315,2024-09-21 06:40:00,001
MHLI1882,2024-09-21 06:40:00,001
MHMD1079,2024-09-21 07:00:00,001
MHVC1739,2024-09-21 07:00:00,001
MHZF9434,2024-09-21 07:00:00,001
MHUK0397,2024-09-21 07:20:00,001
MHOG5853,2024-09-21 07:20:00,001
MHNE0557,2024-09-21 07:20:00,001
MHKC0847,2024-09-21 07:20:00,001
MHRR9594,2024-09-21 07:40:00,001
MHNU7259,2024-09-21 07:40:00,001
MHBD0872,2024-09-21 08:00:00,001
MHVE7691,2024-09-28 05:00:00,001
MHKI1092,2024-09-28 05:00:00,001
MHUS6826,2024-09-28 05:00:00,001
MHLE0691,2024-10-12 05:00:00,001
MHSZ3063,2024-10-12 05:00:00,001
MHJP7111,2024-10-12 05:20:00,001
MHHT9067,2024-10-12 05:20:00,001
MHGR2188,2024-10-12 05:40:00,001
MHHE8231,2024-10-12 05:40:00,001
MHBJ7823,2024-10-12 05:40:00,001
MHZA1922,2024-10-12 06:00:00,001
MHRA1516,2024-10-12 06:00:00,001
MHEA6428,2024-10-12 06:00:00,001
MHRD9967,2024-10-12 06:00:00,001
MHZX5264,2024-10-12 06:00:00,001
MHNI6220,2024-10-12 06:00:00,001
MHNI2533,2024-10-12 06:20:00,001
MHCW1579,2024-10-12 06:20:00,001
MHFZ6278,2024-10-12 06:20:00,001
MHOH1591,2024-10-12 06:20:00,001
MHDB6288,2024-10-12 06:20:00,001
MHNU7001,2024-10-12 06:20:00,001
MHOV4368,2024-10-17 15:00:00,001
MHQP8506,2024-10-19 05:00:00,001
MHDI0209,2024-10-19 05:20:00,001
MHHK3834,2024-10-19 05:20:00,001
MHFP2863,2024-11-02 05:00:00,001
MHGC7091,2024-11-02 05:00:00,001
MHWV5876,2024-11-02 05:00:00,001
MHXZ8586,2024-11-02 05:00:00,001
MHOL2289,2024-11-02 05:00:00,001
MHNA0120,2024-11-02 05:40:00,001
MHST8839,2024-11-09 05:00:00,001
MHCD0429,2024-11-09 05:00:00,001
MHHS6734,2024-11-09 05:00:00,001
MHOD3142,2024-11-09 05:00:00,001
MHRV4276,2024-11-09 05:20:00,001
MHKP5606,2024-11-09 05:20:00,001
