vehicle_no,timestamp,camera_id
0HFB7657,2024-09-18 23:00:00,002
0HLW6417,2024-10-21 19:20:00,002
0HNH1376,2024-11-06 20:20:00,002
1HHN8789,2024-09-15 21:00:00,002
1HSF6006,2024-10-18 23:00:00,002
1HZF9381,2024-11-06 17:20:00,002
1HZS7809,2024-11-13 17:00:00,002
2HDB9868,2024-10-29 14:00:00,002
3HCV7020,2024-10-30 21:00:00,002
5HNO7886,2024-10-07 19:20:00,002
5HYP6332,2024-10-13 18:20:00,002
6HSJ5094,2024-10-30 15:20:00,002
6HWQ5439,2024-10-05 00:00:00,002
7HKI1925,2024-10-16 19:00:00,002
8HAS6587,2024-11-11 11:20:00,002
8HFY4908,2024-11-05 13:00:00,002
9HOJ8955,2024-10-24 10:40:00,002
9HOY7757,2024-10-30 14:40:00,002
9HYS8429,2024-10-30 20:20:00,002
AHAG5991,2024-11-07 15:40:00,002
AHTS7873,2024-09-29 16:40:00,002
AHZZ6451,2024-10-21 20:20:00,002
BHHO8893,2024-11-04 22:00:00,002
CHUM9207,2024-10-02 16:40:00,002
DHID0755,2024-10-27 16:40:00,002
GHDX2805,2024-10-05 18:40:00,002
GHLI6180,2024-10-19 16:00:00,002
GHZN6954,2024-10-25 13:20:00,002
HHNT8341,2024-09-27 17:20:00,002
JHUJ4612,2024-11-10 11:00:00,002
KHOZ1398,2024-11-04 21:20:00,002
LHMA2846,2024-10-03 00:00:00,002
LHPX3519,2024-10-21 18:20:00,002
LHYX0439,2024-09-28 12:40:00,002
M1ON5810,2024-09-29 12:20:00,002
M2AK3732,2024-10-21 21:20:00,002
M2BG0044,2024-10-23 19:00:00,002
M2EY6563,2024-09-26 20:00:00,002
M3LP0560,2024-10-20 12:00:00,002
M4CU0938,2024-09-24 22:20:00,002
M6IT9830,2024-10-19 17:40:00,002
M7CK8272,2024-10-24 12:20:00,002
M7MW1055,2024-11-06 21:00:00,002
M7NO9764,2024-09-14 23:40:00,002
M7RM9673,2024-11-02 10:40:00,002
M7SD0464,2024-11-04 13:00:00,002
M9AB6969,2024-09-14 19:00:00,002
M9AI9608,2024-09-13 16:40:00,002
M9HE9023,2024-11-05 20:00:00,002
M9KT9452,2024-11-08 20:40:00,002
MAIH5246,2024-09-12 15:20:00,002
MASC7104,2024-10-30 16:40:00,002
MBSN2701,2024-10-02 09:40:00,002
MBXH3517,2024-11-05 18:40:00,002
MCNI6849,2024-09-21 23:00:00,002
MDKD3925,2024-11-08 23:00:00,002
MDOQ0038,2024-10-19 21:20:00,002
MEOY5524,2024-10-07 19:40:00,002
MESY1167,2024-09-26 13:20:00,002
METY7488,2024-09-16 18:00:00,002
MFFJ4438,2024-09-30 08:40:00,002
MFOK2540,2024-10-20 23:40:00,002
MFQO3306,2024-09-12 19:40:00,002
MGAU4836,2024-10-31 14:20:00,002
MH0E3083,2024-11-01 16:40:00,002
MH0F5354,2024-10-24 15:00:00,002
MH0K8928,2024-11-07 10:00:00,002
MH0W0135,2024-10-24 12:20:00,002
MH0Z4771,2024-10-08 15:40:00,002
MH1A2688,2024-10-18 12:20:00,002
MH2A9152,2024-10-11 23:40:00,002
MH2P4514,2024-09-13 20:40:00,002
MH3Z6817,2024-09-30 16:00:00,002
MH4A2785,2024-10-05 20:20:00,002
MH4S0891,2024-11-09 14:40:00,002
MH5S5033,2024-11-03 19:00:00,002
MH6G2356,2024-11-01 23:20:00,002
MH7B7468,2024-10-04 19:20:00,002
MH7T1334,2024-09-25 20:20:00,002
MH7U9260,2024-10-04 16:00:00,002
MH7W4541,2024-09-19 23:20:00,002
MH8Q5492,2024-11-11 10:20:00,002
MH8W7032,2024-10-26 20:00:00,002
MH9K3592,2024-11-02 23:40:00,002
MH9P0950,2024-10-30 20:00:00,002
MH9W5549,2024-09-26 20:40:00,002
MHA07609,2024-10-26 15:00:00,002
MHA20750,2024-10-06 19:00:00,002
MHA34048,2024-11-07 14:40:00,002
MHAAI155,2024-10-06 12:20:00,002
MHACS416,2024-09-24 14:00:00,002
MHADH074,2024-11-08 20:20:00,002
MHAF4661,2024-10-12 12:20:00,002
MHAI008W,2024-10-05 19:40:00,002
MHAK036A,2024-10-31 14:00:00,002
MHAL492X,2024-10-11 16:40:00,002
MHAM4972,2024-10-08 19:00:00,002
MHANL148,2024-10-20 16:20:00,002
MHAO5621,2024-10-19 13:40:00,002
MHAO6348,2024-10-26 15:40:00,002
MHAP014H,2024-11-13 13:20:00,002
MHAQ947G,2024-09-16 19:20:00,002
MHAS6887,2024-11-09 15:20:00,002
MHAT4088,2024-11-09 15:00:00,002
MHAT7886,2024-10-05 16:00:00,002
MHAV1489,2024-09-14 19:00:00,002
MHAV2121,2024-11-13 12:00:00,002
MHAV5142,2024-09-21 11:20:00,002
MHAW5696,2024-11-02 15:20:00,002
MHAW8413,2024-11-08 21:00:00,002
MHAW8Z62,2024-09-27 22:40:00,002
MHAW9997,2024-10-30 16:00:00,002
MHAY58F7,2024-09-24 13:40:00,002
MHB19242,2024-11-13 13:00:00,002
MHBA0183,2024-09-14 17:40:00,002
MHBA5766,2024-10-26 17:00:00,002
MHBA8241,2024-10-22 20:40:00,002
MHBA8763,2024-10-26 16:40:00,002
MHBB1404,2024-11-09 14:20:00,002
MHBD7416,2024-11-02 13:00:00,002
MHBD7569,2024-10-25 19:00:00,002
MHBE9673,2024-09-14 18:40:00,002
MHBF2131,2024-09-14 18:00:00,002
MHBF4114,2024-10-31 16:20:00,002
MHBGN156,2024-11-02 10:20:00,002
MHBH1487,2024-10-19 14:00:00,002
MHBH6718,2024-11-09 12:40:00,002
MHBI8397,2024-09-21 12:00:00,002
MHBK01E8,2024-10-07 21:20:00,002
MHBK25J3,2024-11-12 21:40:00,002
MHBM0342,2024-11-02 12:40:00,002
MHBM2888,2024-11-09 14:20:00,002
MHBN13D4,2024-11-07 00:00:00,002
MHBO4205,2024-09-21 11:20:00,002
MHBO78U4,2024-10-19 21:00:00,002
MHBO8333,2024-09-29 09:00:00,002
MHBR4277,2024-10-18 13:20:00,002
MHBT1133,2024-10-12 14:00:00,002
MHBU027Y,2024-10-15 14:00:00,002
MHBU0814,2024-09-21 12:40:00,002
MHBU366K,2024-09-18 14:20:00,002
MHBU5467,2024-10-19 14:40:00,002
MHBX3344,2024-10-12 14:00:00,002
MHBYS403,2024-10-24 16:00:00,002
